ID,time_stamp,hashrate,T1,T2,Fan_1,Fan_2
15096,2024-12-11 14:11:01,372,58.0,38.0,0.0,0.0
15097,2024-12-11 14:17:41,430,58.0,38.0,0.0,0.0
15098,2024-12-11 14:24:21,406,59.0,38.0,0.0,0.0
15099,2024-12-11 14:31:02,388,58.0,38.0,0.0,0.0
15100,2024-12-11 14:37:44,357,58.0,37.0,0.0,0.0
15101,2024-12-11 14:44:27,419,57.0,37.0,0.0,0.0
15102,2024-12-11 14:51:09,414,57.0,37.0,0.0,0.0
15103,2024-12-11 14:57:49,384,58.0,37.0,0.0,0.0
15104,2024-12-11 15:04:29,430,59.0,38.0,0.0,0.0
15105,2024-12-11 15:11:09,404,58.0,37.0,0.0,0.0
15106,2024-12-11 15:17:50,372,57.0,36.0,0.0,0.0
15107,2024-12-11 15:24:29,372,57.0,37.0,0.0,0.0
15108,2024-12-11 15:31:09,408,57.0,37.0,0.0,0.0
15109,2024-12-11 15:37:49,373,58.0,37.0,0.0,0.0
15110,2024-12-11 15:44:29,399,58.0,37.0,0.0,0.0
15111,2024-12-11 15:51:09,362,58.0,37.0,0.0,0.0
15112,2024-12-11 15:57:49,408,58.0,37.0,0.0,0.0
15113,2024-12-11 16:04:29,425,58.0,38.0,0.0,0.0
15114,2024-12-11 16:11:09,403,58.0,37.0,0.0,0.0
15115,2024-12-11 16:17:49,415,58.0,37.0,0.0,0.0
15116,2024-12-11 16:24:29,410,57.0,37.0,0.0,0.0
15117,2024-12-11 16:31:09,403,57.0,37.0,0.0,0.0
15118,2024-12-11 16:37:49,401,58.0,37.0,0.0,0.0
15119,2024-12-11 16:44:29,421,57.0,37.0,0.0,0.0
15120,2024-12-11 16:51:09,401,57.0,37.0,0.0,0.0
15121,2024-12-11 16:57:49,382,57.0,37.0,0.0,0.0
15122,2024-12-11 17:04:29,414,57.0,37.0,0.0,0.0
15123,2024-12-11 17:11:09,372,57.0,37.0,0.0,0.0
15124,2024-12-11 17:17:49,437,57.0,37.0,0.0,0.0
15125,2024-12-11 17:24:29,417,57.0,37.0,0.0,0.0
15126,2024-12-11 17:31:10,362,57.0,37.0,0.0,0.0
15127,2024-12-11 17:37:50,434,57.0,37.0,0.0,0.0
15128,2024-12-11 17:46:49,399,57.0,37.0,0.0,0.0
15129,2024-12-11 17:53:37,426,57.0,37.0,0.0,0.0
15130,2024-12-11 18:00:26,379,57.0,37.0,0.0,0.0
15131,2024-12-11 18:07:15,401,57.0,36.0,0.0,0.0
15132,2024-12-11 18:14:03,419,57.0,36.0,0.0,0.0
15133,2024-12-11 18:20:52,421,57.0,36.0,0.0,0.0
15134,2024-12-11 18:27:41,375,57.0,36.0,0.0,0.0
15135,2024-12-11 18:34:30,382,57.0,36.0,0.0,0.0
15136,2024-12-11 18:41:19,437,57.0,36.0,0.0,0.0
15137,2024-12-11 18:48:07,375,57.0,36.0,0.0,0.0
15138,2024-12-11 18:54:56,384,57.0,36.0,0.0,0.0
15139,2024-12-11 19:01:44,415,57.0,36.0,0.0,0.0
15140,2024-12-11 19:08:34,452,57.0,36.0,0.0,0.0
15141,2024-12-11 19:15:22,445,57.0,36.0,0.0,0.0
15142,2024-12-11 19:22:11,366,57.0,36.0,0.0,0.0
15143,2024-12-11 19:28:59,408,57.0,36.0,0.0,0.0
15144,2024-12-11 19:35:48,388,57.0,36.0,0.0,0.0
15145,2024-12-11 19:42:36,397,57.0,36.0,0.0,0.0
15146,2024-12-11 19:49:25,397,57.0,36.0,0.0,0.0
15147,2024-12-11 19:56:14,399,57.0,36.0,0.0,0.0
15148,2024-12-11 20:03:02,392,57.0,36.0,0.0,0.0
15149,2024-12-11 20:09:51,412,57.0,36.0,0.0,0.0
15150,2024-12-11 20:16:39,359,57.0,36.0,0.0,0.0
15151,2024-12-11 20:23:28,386,57.0,36.0,0.0,0.0
15152,2024-12-11 20:30:16,359,57.0,36.0,0.0,0.0
15153,2024-12-11 20:37:05,377,57.0,36.0,0.0,0.0
15154,2024-12-11 20:43:54,373,57.0,36.0,0.0,0.0
15155,2024-12-11 20:50:43,421,57.0,36.0,0.0,0.0
15156,2024-12-11 20:57:31,421,57.0,37.0,0.0,0.0
15157,2024-12-11 21:04:21,406,57.0,36.0,0.0,0.0
15158,2024-12-11 21:11:09,364,56.0,35.0,0.0,0.0
15159,2024-12-11 21:17:58,372,56.0,35.0,0.0,0.0
15160,2024-12-11 21:24:47,408,56.0,36.0,0.0,0.0
15161,2024-12-11 21:31:35,386,57.0,36.0,0.0,0.0
15162,2024-12-11 21:38:24,395,56.0,36.0,0.0,0.0
15163,2024-12-11 21:45:13,379,56.0,35.0,0.0,0.0
15164,2024-12-11 21:52:01,406,56.0,35.0,0.0,0.0
15165,2024-12-11 21:58:50,412,55.0,35.0,0.0,0.0
15166,2024-12-11 22:05:38,392,56.0,35.0,0.0,0.0
15167,2024-12-11 22:12:27,368,56.0,35.0,0.0,0.0
15168,2024-12-11 22:19:16,404,56.0,36.0,0.0,0.0
15169,2024-12-11 22:26:04,415,57.0,36.0,0.0,0.0
15170,2024-12-11 22:32:53,386,57.0,37.0,0.0,0.0
15171,2024-12-11 22:39:41,357,57.0,37.0,0.0,0.0
15172,2024-12-11 22:46:30,353,57.0,36.0,0.0,0.0
15173,2024-12-11 22:53:19,382,57.0,37.0,0.0,0.0
15174,2024-12-11 23:00:08,419,57.0,37.0,0.0,0.0
15175,2024-12-11 23:06:56,373,57.0,37.0,0.0,0.0
15176,2024-12-11 23:13:45,404,57.0,37.0,0.0,0.0
15177,2024-12-11 23:20:33,406,57.0,37.0,0.0,0.0
15178,2024-12-11 23:27:22,414,57.0,37.0,0.0,0.0
15179,2024-12-11 23:34:10,381,57.0,37.0,0.0,0.0
15180,2024-12-11 23:40:59,406,57.0,36.0,0.0,0.0
15181,2024-12-11 23:47:48,439,57.0,37.0,0.0,0.0
15182,2024-12-11 23:54:37,403,57.0,36.0,0.0,0.0
15183,2024-12-12 00:01:29,382,57.0,36.0,0.0,0.0
15184,2024-12-12 00:08:18,368,57.0,37.0,0.0,0.0
15185,2024-12-12 00:15:07,408,57.0,37.0,0.0,0.0
15186,2024-12-12 00:21:56,372,57.0,37.0,0.0,0.0
15187,2024-12-12 00:28:44,359,57.0,37.0,0.0,0.0
15188,2024-12-12 00:35:33,388,57.0,37.0,0.0,0.0
15189,2024-12-12 00:42:21,476,57.0,37.0,0.0,0.0
15190,2024-12-12 00:49:10,412,57.0,37.0,0.0,0.0
15191,2024-12-12 00:55:59,377,57.0,37.0,0.0,0.0
15192,2024-12-12 01:02:48,403,57.0,37.0,0.0,0.0
15193,2024-12-12 01:09:36,437,57.0,37.0,0.0,0.0
15194,2024-12-12 01:16:25,377,57.0,37.0,0.0,0.0
15195,2024-12-12 01:23:14,364,57.0,37.0,0.0,0.0
15196,2024-12-12 01:30:03,406,57.0,37.0,0.0,0.0
15197,2024-12-12 01:36:51,423,57.0,37.0,0.0,0.0
15198,2024-12-12 01:43:40,414,57.0,37.0,0.0,0.0
15199,2024-12-12 01:50:29,423,57.0,37.0,0.0,0.0
15200,2024-12-12 01:57:18,388,57.0,37.0,0.0,0.0
15201,2024-12-12 02:04:07,361,57.0,37.0,0.0,0.0
15202,2024-12-12 02:10:56,410,57.0,37.0,0.0,0.0
15203,2024-12-12 02:17:44,331,57.0,37.0,0.0,0.0
15204,2024-12-12 02:24:33,370,57.0,37.0,0.0,0.0
15205,2024-12-12 02:31:22,362,57.0,37.0,0.0,0.0
15206,2024-12-12 02:38:11,434,57.0,37.0,0.0,0.0
15207,2024-12-12 02:45:00,432,57.0,37.0,0.0,0.0
15208,2024-12-12 02:51:49,412,57.0,37.0,0.0,0.0
15209,2024-12-12 02:58:38,388,57.0,37.0,0.0,0.0
15210,2024-12-12 03:05:27,364,57.0,36.0,0.0,0.0
15211,2024-12-12 03:12:16,353,57.0,37.0,0.0,0.0
15212,2024-12-12 03:19:05,384,57.0,36.0,0.0,0.0
15213,2024-12-12 03:25:55,392,57.0,36.0,0.0,0.0
15214,2024-12-12 03:32:44,328,57.0,36.0,0.0,0.0
15215,2024-12-12 03:39:33,421,57.0,36.0,0.0,0.0
15216,2024-12-12 03:46:22,339,57.0,37.0,0.0,0.0
15217,2024-12-12 03:53:11,401,57.0,37.0,0.0,0.0
15218,2024-12-12 03:59:59,430,57.0,37.0,0.0,0.0
15219,2024-12-12 04:06:48,392,57.0,37.0,0.0,0.0
15220,2024-12-12 04:13:38,379,57.0,37.0,0.0,0.0
15221,2024-12-12 04:20:27,377,57.0,37.0,0.0,0.0
15222,2024-12-12 04:27:16,346,57.0,37.0,0.0,0.0
15223,2024-12-12 04:34:04,406,57.0,36.0,0.0,0.0
15224,2024-12-12 04:40:53,342,57.0,36.0,0.0,0.0
15225,2024-12-12 04:47:42,403,57.0,36.0,0.0,0.0
15226,2024-12-12 04:54:31,428,57.0,36.0,0.0,0.0
15227,2024-12-12 05:01:20,403,57.0,36.0,0.0,0.0
15228,2024-12-12 05:08:09,386,57.0,37.0,0.0,0.0
15229,2024-12-12 05:14:58,335,57.0,36.0,0.0,0.0
15230,2024-12-12 05:21:46,401,57.0,36.0,0.0,0.0
15231,2024-12-12 05:28:35,395,57.0,36.0,0.0,0.0
15232,2024-12-12 05:35:24,414,57.0,36.0,0.0,0.0
15233,2024-12-12 05:42:13,388,57.0,36.0,0.0,0.0
15234,2024-12-12 05:49:02,384,57.0,36.0,0.0,0.0
15235,2024-12-12 05:55:51,366,57.0,36.0,0.0,0.0
15236,2024-12-12 06:02:40,342,57.0,36.0,0.0,0.0
15237,2024-12-12 06:09:29,412,57.0,37.0,0.0,0.0
15238,2024-12-12 06:16:18,364,57.0,36.0,0.0,0.0
15239,2024-12-12 06:23:07,366,56.0,36.0,0.0,0.0
15240,2024-12-12 06:29:56,410,56.0,36.0,0.0,0.0
15241,2024-12-12 06:36:45,417,56.0,36.0,0.0,0.0
15242,2024-12-12 06:43:34,373,56.0,36.0,0.0,0.0
15243,2024-12-12 06:50:23,393,56.0,36.0,0.0,0.0
15244,2024-12-12 06:57:12,355,56.0,36.0,0.0,0.0
15245,2024-12-12 07:04:01,361,56.0,36.0,0.0,0.0
15246,2024-12-12 07:10:50,313,56.0,36.0,0.0,0.0
15247,2024-12-12 07:17:39,364,56.0,36.0,0.0,0.0
15248,2024-12-12 07:24:28,368,56.0,36.0,0.0,0.0
15249,2024-12-12 07:31:17,384,56.0,36.0,0.0,0.0
15250,2024-12-12 07:38:07,373,56.0,36.0,0.0,0.0
15251,2024-12-12 07:44:56,388,56.0,36.0,0.0,0.0
15252,2024-12-12 07:51:45,421,56.0,36.0,0.0,0.0
15253,2024-12-12 07:58:34,392,56.0,36.0,0.0,0.0
15254,2024-12-12 08:05:23,412,57.0,36.0,0.0,0.0
15255,2024-12-12 08:12:12,450,57.0,36.0,0.0,0.0
15256,2024-12-12 08:19:01,351,57.0,36.0,0.0,0.0
15257,2024-12-12 08:25:50,382,56.0,36.0,0.0,0.0
15258,2024-12-12 08:32:39,377,56.0,36.0,0.0,0.0
15259,2024-12-12 08:39:28,397,56.0,36.0,0.0,0.0
15260,2024-12-12 08:46:19,350,57.0,36.0,0.0,0.0
15261,2024-12-12 08:53:09,395,56.0,36.0,0.0,0.0
15262,2024-12-12 08:59:58,368,57.0,36.0,0.0,0.0
15263,2024-12-12 09:06:47,377,57.0,36.0,0.0,0.0
15264,2024-12-12 09:13:36,456,56.0,36.0,0.0,0.0
15265,2024-12-12 09:20:26,437,56.0,36.0,0.0,0.0
15266,2024-12-12 09:27:17,414,56.0,36.0,0.0,0.0
15267,2024-12-12 09:34:09,399,56.0,36.0,0.0,0.0
15268,2024-12-12 09:41:02,397,56.0,36.0,0.0,0.0
15269,2024-12-12 09:47:55,357,56.0,36.0,0.0,0.0
15270,2024-12-12 09:54:48,381,56.0,36.0,0.0,0.0
15271,2024-12-12 10:01:41,401,56.0,36.0,0.0,0.0
15272,2024-12-12 10:08:34,392,56.0,36.0,0.0,0.0
15273,2024-12-12 10:15:27,377,56.0,36.0,0.0,0.0
15274,2024-12-12 10:22:20,412,56.0,36.0,0.0,0.0
15275,2024-12-12 10:29:12,372,56.0,36.0,0.0,0.0
15276,2024-12-12 10:36:05,417,56.0,36.0,0.0,0.0
15277,2024-12-12 10:40:11,346,57.0,36.0,0.0,0.0
15278,2024-12-12 10:42:58,362,57.0,36.0,0.0,0.0
15279,2024-12-12 10:49:52,437,57.0,36.0,0.0,0.0
15280,2024-12-12 10:56:46,397,57.0,36.0,0.0,0.0
15281,2024-12-12 11:03:38,434,57.0,36.0,0.0,0.0
15282,2024-12-12 11:10:32,397,57.0,36.0,0.0,0.0
15283,2024-12-12 11:13:37,355,57.0,37.0,0.0,0.0
15284,2024-12-12 11:17:25,362,58.0,37.0,0.0,0.0
15285,2024-12-12 11:18:36,362,58.0,37.0,0.0,0.0
15286,2024-12-12 11:22:05,419,58.0,38.0,0.0,0.0
